sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
BeanShell Sampler,4,22,21,25,25,25,21,25,0.00%,1.2,.0,1.73
Login Page Load,1004,11,4,5,6,40,2,4499,0.00%,1.0,2.4,149.93
Login Submit,1004,140,33,92,280,3933,24,7568,0.00%,1.0,3.4,603.92
Favourite Project,13799,20,4,15,38,167,2,9165,0.00%,4.6,1.8,213.34
Inbox ,183646,10,6,18,37,64,4,5068,0.00%,61.1,309.9,55.51
View Defect,11106,22,15,22,31,113,0,4704,0.01%,3.7,560.6,104.07
Open Defect for create,2449,23,17,23,29,47,0,4413,0.04%,.8,29.3,121.24
View Comments,8175,5,3,4,5,16,0,5015,0.05%,2.7,7.2,90.15
Add Comments,6736,3,3,4,5,17,2,3008,0.00%,2.2,5.7,36.72
Add Traceability,1957,38,27,41,68,221,0,3846,0.00%,.7,1.8,130.37
View Defect Workflow ,2479,85,76,88,109,214,69,1897,0.00%,.8,9.4,73.09
Modify Defect WorkFlow,2557,113,57,158,230,777,8,9429,0.00%,.9,3.8,422.95
Route Defect,4778,52,31,62,118,417,10,4443,0.77%,1.6,1.3,173.69
View Org Dashboard Page,206,176,156,183,198,613,136,1762,0.00%,.1,.8,135.42
Project Item status dashboard,1089,23,18,27,37,94,13,1318,0.00%,.4,2.9,50.01
View WorkPackage List,67,51,13,57,158,477,8,1341,0.00%,.0,.0,172.34
Open WorkPackage for create,370,30,12,24,53,717,10,1396,0.00%,.1,2.8,114.41
View Version List,1094,15,5,8,20,346,3,574,0.00%,.4,1.7,55.16
Create WorkPackage ,370,106,26,105,170,2070,6,10874,0.00%,.1,.1,628.19
Add attachment,1555,82,9,15,40,1546,4,11154,0.00%,.5,1.5,741.79
Create Defect ,2409,38,21,57,93,327,18,2763,0.00%,.8,3.0,109.08
View Project Dashboard Page,1455,25,23,33,41,61,17,347,0.00%,.5,5.7,13.58
View Org ECR Listing,36,126,8,14,484,2526,7,2526,0.00%,.0,.0,459.20
View ORG ECR EForm,36,16,12,18,29,89,10,89,0.00%,.0,.3,14.52
View Org ECR Report,36,1892,1804,2026,2184,3730,1620,3730,0.00%,.0,8.9,367.98
View Standard Issue List,104,43,18,53,166,512,11,865,0.00%,.0,.0,102.80
Open Standard Issue for create,395,52,14,44,57,544,11,7579,0.00%,.1,4.4,400.79
View Defect List,587,95,23,47,253,301,13,14242,0.00%,.2,.5,790.26
View Action Item,300,43,12,37,67,258,9,5286,0.00%,.1,12.4,309.36
Modify Action Item,300,96,45,144,229,661,40,3484,0.00%,.1,.1,289.90
View Traceability,3228,21,18,23,30,49,15,3041,0.00%,1.1,5.9,61.97
View Document List,277,57,16,43,72,355,10,6733,0.00%,.1,.1,410.01
View Weekly Timesheet,2683,115,71,132,204,623,45,12609,0.00%,.9,7.0,380.01
View Standard Issue,447,20,12,25,45,221,0,494,0.89%,.2,20.6,41.38
Create Standard Issue ,265,81,20,75,147,670,16,7319,0.00%,.1,.3,489.70
Search Item to trace,2769,37,0,44,75,440,0,17385,0.00%,.9,1.7,496.12
View WorkPackage,64,13,15,18,19,30,0,57,7.81%,.0,1.7,8.11
Open Linked Task on WorkPackage,64,382,197,1160,1517,2115,0,3924,7.81%,.0,.2,637.30
View Timesheet under Approval List,286,74,56,99,115,341,17,1270,0.00%,.1,.8,115.08
Modify Defect,2988,98,44,124,178,675,5,8605,0.00%,1.0,.7,460.98
Open Document for create,272,21,18,24,28,86,15,300,0.00%,.1,3.2,19.65
Create Document ,272,70,21,74,145,585,18,5343,0.00%,.1,.3,360.16
Close Defect,1607,31,17,31,60,168,14,4010,0.00%,.6,.3,150.85
View Test Unit List,470,26,23,30,42,77,13,383,0.00%,.2,.3,23.64
Checkout STaRT Plan,63,9,6,9,30,50,5,82,0.00%,.0,.0,12.01
Open Test Unit for create,2261,17,14,16,23,51,11,3009,0.00%,.8,25.7,69.45
Checkin STaRT Plan,63,25,20,52,69,94,8,156,0.00%,.0,.0,24.35
View Risk List,38,148,21,295,1096,1168,10,1168,0.00%,.0,.0,306.77
Open Risk for create,177,49,14,50,83,713,12,1112,0.00%,.1,2.0,143.86
View Timesheet for Eform Instance,4282,46,24,34,42,267,13,16832,0.00%,1.5,10.5,420.22
View Document,271,20,16,21,25,52,13,320,0.00%,.1,15.0,29.04
Save Timesheet for Eform Instance,4275,40,16,33,63,229,5,8838,0.00%,1.5,.7,270.20
Create Risk ,173,168,23,125,184,3952,20,7243,0.00%,.1,.2,843.66
View Risk,149,17,15,24,31,53,13,94,0.00%,.1,7.5,8.53
View Risk Workflow ,149,76,74,83,89,114,70,144,0.00%,.1,.5,8.51
Modify Risk Workflow,149,111,64,184,293,836,58,920,0.00%,.1,.2,138.93
Create Test Unit ,2222,38,21,54,88,217,17,3373,0.00%,.8,2.8,155.44
View Test Unit,2221,13,11,15,21,46,9,516,0.00%,.8,103.6,22.54
View ECR EForm List,225,45,52,77,85,159,7,526,0.00%,.1,.1,48.32
View Task,8804,42,23,58,82,168,16,11477,0.00%,3.1,433.4,228.13
View ECR EForm,224,41,24,76,81,90,7,92,0.00%,.1,9.4,31.87
View ECR Report,224,174,57,69,76,117,48,14307,0.00%,.1,1.1,1225.79
Generate ECR,119,31,34,40,55,157,3,163,0.00%,.0,.6,22.25
Approve Timesheet,79,1216,169,3014,7646,13527,8,13823,0.00%,.0,.0,2736.41
Save Timesheet,373,29,18,29,51,134,9,2436,0.00%,.1,.1,127.39
Route Timesheet,371,36,17,35,61,160,3,4636,0.00%,.1,.1,240.98
View Team List,26,130,83,123,499,760,62,760,0.00%,.0,.0,149.96
Filter Defect List,99,33,26,46,49,81,13,540,0.00%,.0,.1,52.62
Reopen Defect Popup,99,21,6,102,130,197,4,201,0.00%,.0,.1,43.66
Reopen Defect,99,93,28,273,311,428,17,489,0.00%,.0,.1,110.08
Open Search Screen for Invite,136,27,21,27,36,330,16,438,0.00%,.1,.7,44.35
Search Resource For Invite,136,49,27,38,51,340,15,2176,0.00%,.1,.5,186.84
View Team Member Allocation Report,135,26,27,30,35,57,16,88,0.00%,.1,.5,7.72
Invite New Team Member,135,285,67,575,1694,3651,4,4995,0.00%,.1,.1,720.29
Filter Team List,135,149,82,164,183,279,57,6818,0.00%,.1,.0,577.39
View Team Eform,93,133,126,145,156,316,119,373,0.00%,.0,1.0,33.35
User Search,30,188,174,214,227,358,167,358,0.00%,.0,.0,36.28
Open User EForm,30,206,132,222,304,1669,69,1669,0.00%,.0,.6,280.22
Delete Team Member,93,374,177,341,407,706,161,14257,0.00%,.0,.0,1450.77
View Report List,7,51,19,126,128,128,13,128,0.00%,.0,.0,48.88
View Timesheet Report,7,57,15,164,175,175,9,175,0.00%,.0,.0,71.06
View User EForm List,3,85,82,94,94,94,79,94,0.00%,.0,.0,6.48
View Resource Plan,48,21,8,16,53,333,0,333,4.17%,.0,.6,54.91
View Resource Plan List,6,52,28,69,128,128,27,128,0.00%,.0,.0,36.89
Modify Resource Plan,25,39,8,25,49,702,5,702,0.00%,.0,.0,135.76
TOTAL,294049,22,7,38,58,152,0,17385,0.02%,97.4,1592.8,178.56
